"gene.symbol","A1","A2","N1","N2","OPC1","OPC2","GC1","GC2","MOG1","MOG2","MGL1","MGL2","Endo1","Endo2","WB1","WB2","WB3"
"0610005C13Rik",0.200201,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"0610007C21Rik",47.529076,41.781448,33.378741,34.770467,57.415641,84.325226,46.986842,68.258139,54.736686,52.536814,75.383231,101.407792,59.257508,67.321897,35.938745,32.229991,42.267463
"0610007L01Rik",10.075592,11.83084,11.723832,12.362272,12.323579,14.148773,10.841421,17.118498,4.96029,7.248484,20.214993,16.412027,13.904486,13.021746,10.277692,9.339216,9.941628
"0610007P08Rik",7.917463,6.419092,1.278118,2.801128,6.060253,2.945927,8.097296,3.989445,2.475218,3.264023,0.519796,0.37521,4.525034,4.89565,3.377649,2.943898,3.723082
"0610007P14Rik",49.567579,47.814948,25.025453,23.64729,43.987477,64.589854,63.73033,72.237064,60.966421,66.573948,8.628644,11.996426,9.75984,11.275608,40.701673,35.67537,40.772129
"0610007P22Rik",8.061877,8.217655,12.637958,13.822684,6.954411,11.634429,7.64701,12.387077,8.50236,9.081803,6.833002,6.51257,5.709239,6.347161,9.573029,8.99576,8.915103
"0610008F07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"0610009B14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"0610009B22Rik",9.582227,8.586439,9.443369,9.388478,12.740432,11.615819,14.143087,13.460794,15.161026,13.807107,1.877283,3.312308,10.900236,13.127019,7.531804,8.910432,10.954806
"0610009D07Rik",18.93164,18.854123,25.096428,23.820812,30.926165,46.908262,34.535347,45.123731,29.413493,30.649842,13.011956,13.150915,28.761309,35.330565,22.910163,21.115761,23.423692
"0610009L18Rik",1.889407,1.981016,2.606876,2.48309,4.114169,6.30902,2.974594,4.872866,1.373795,3.114549,2.111932,1.158677,1.136458,1.624713,2.652987,1.775337,1.980364
"0610009O20Rik",16.714434,16.012751,10.103073,9.855777,17.847442,25.665439,12.72122,16.601873,10.96488,12.332775,22.295226,30.310277,17.187181,18.304193,11.475196,11.390061,12.539122
"0610010B08Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"0610010F05Rik",5.420062,4.896544,10.596763,15.409012,6.958059,2.971523,8.908425,3.971756,3.637648,4.252198,0.815126,0.452567,5.511373,6.261175,15.583296,14.607925,16.174575
"0610010K14Rik",9.743287,11.972032,21.603628,20.083759,22.878877,28.872533,12.957874,18.617902,13.049345,16.240351,47.189466,53.134533,45.246122,47.657308,22.705918,21.238118,22.734109
"0610010O12Rik",12.905022,14.414392,20.036596,19.80722,8.280217,15.612365,11.6185,12.30839,24.179036,22.134954,2.738759,1.982344,2.242652,2.794676,8.742229,7.248776,7.208119
"0610011F06Rik",4.500571,5.745415,8.330959,9.213809,10.361063,14.624563,5.709725,7.026512,7.95552,7.229445,3.594477,4.911838,8.113293,10.673548,6.469818,8.168546,6.526729
"0610011L14Rik",6.508517,6.523446,6.301506,6.182916,5.783728,10.077378,7.788311,11.676298,6.57133,6.605391,5.927241,8.277044,7.536907,7.770996,6.156673,6.059995,6.756921
"0610012G03Rik",8.140915,7.548321,13.633185,14.210892,11.797408,22.668182,11.696653,17.73387,14.509687,15.496685,22.124153,22.671456,16.35142,18.584909,17.280352,17.061601,15.519019
"0610012H03Rik",0.1,0.116138,0.1,0.1,0.419775,0.223747,0.106286,0.108983,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"0610030E20Rik",5.460023,5.173822,3.331256,2.953771,4.45925,2.620431,3.222796,2.126688,0.966155,1.058513,2.637463,2.023244,1.178558,1.486875,3.053548,2.894399,3.428798
"0610031J06Rik",29.033379,23.716209,10.049194,10.007515,28.021797,39.092291,19.662051,28.213964,30.270063,28.834181,115.888898,161.757338,79.364054,79.995467,19.816973,19.996708,21.014648
"0610037L13Rik",20.963394,17.343817,7.774617,11.080131,16.348378,21.294857,10.789993,12.900518,7.975817,9.701662,13.45754,12.4964,20.006515,23.819071,12.267642,11.356132,13.242124
"0610037P05Rik",16.184381,16.799993,20.436885,20.823904,26.376346,33.598164,24.171651,29.554007,21.046707,21.526922,9.239153,8.323087,19.707806,23.201062,20.387226,20.124776,20.904585
"0610038B21Rik",0.1,0.1,0.1458,0.150898,0.237522,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.140681,0.157126,0.1,0.1
"0610039K10Rik",0.208287,0.135377,0.504251,0.104794,0.196262,0.161022,0.130641,0.138487,0.1,0.104153,0.444527,0.395275,0.394693,0.75886,0.276841,0.138428,0.219403
"0610040B10Rik",1.721131,1.383192,1.828105,1.108128,2.173193,3.461422,2.763794,3.557151,2.789386,2.951154,0.740022,0.496858,2.810756,2.809948,1.140262,0.83559,1.109021
"0610040F04Rik",0.153301,0.126918,0.1,0.1,0.1,0.317961,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.127858,0.1,0.1
"0610040J01Rik",16.339637,11.366817,0.690702,2.007432,28.250869,38.303137,6.055033,7.762086,3.931855,4.896339,41.400384,50.744468,0.1,0.157259,6.541737,7.655598,6.858867
"0610043K17Rik",0.1,0.1,0.121453,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"0910001L09Rik",13.001983,11.354491,21.001027,21.224373,24.053851,30.671656,26.12063,35.689369,32.05105,32.080056,36.888488,71.46652,22.759931,28.168678,28.903606,31.226628,26.79956
"1100001G20Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.379714,1.012167,0.1,0.1,0.1,0.1,0.1
"1110001A16Rik",2.723248,2.505115,4.38084,5.1504,5.23065,6.447553,4.886928,4.245297,3.497025,3.49039,8.247762,9.654239,9.637309,10.703473,6.228,5.956245,5.746447
"1110001J03Rik",18.15246,15.331678,20.133416,19.164199,20.507204,33.197474,10.115144,17.429383,8.369162,12.162602,4.766286,9.728775,14.415412,20.32269,27.748779,24.890468,23.794215
"1110002B05Rik",24.260474,34.589303,25.129294,22.422351,59.653912,48.011105,65.511833,45.897526,63.140066,53.061395,22.144933,17.624123,109.68125,125.912333,41.616562,38.452106,42.074161
"1110002L01Rik",0.741272,0.612536,1.737423,1.703311,1.088761,1.242524,1.297768,1.224742,0.55261,0.667752,0.429347,0.413419,0.29949,0.208638,0.936394,0.930692,0.611569
"1110002N22Rik",2.918551,2.36792,1.370396,1.083842,1.495316,1.36595,1.057339,0.86821,0.893023,0.751848,2.084981,2.199233,1.861888,2.0807,1.434063,1.870516,1.80194
"1110003E01Rik",11.565445,13.263241,31.936811,28.218832,25.820044,31.840858,32.234516,34.827553,44.50123,41.572516,22.002263,25.76297,29.581683,30.314629,21.878408,22.592515,21.867009
"1110004E09Rik",5.202627,6.410644,10.088209,9.02127,9.810498,14.54791,7.438237,6.897661,4.315811,4.751925,2.166331,3.294489,11.267033,12.034323,9.419886,8.634306,8.981698
"1110004F10Rik",21.859144,23.514708,46.482651,49.715421,36.136071,47.760391,42.278785,41.626063,21.666248,25.409518,12.072586,12.534409,32.111971,38.191072,37.637153,36.013598,37.705011
"1110005A03Rik",5.317644,4.232613,4.941367,4.807142,5.938162,8.160352,6.077261,7.207557,6.612785,6.283749,4.625337,3.919258,5.556083,5.924305,4.643589,4.677347,3.903837
"1110006O24Rik",1.159015,0.768977,0.224612,0.225736,0.668713,0.558506,1.209119,0.966808,0.688018,1.130897,0.199247,0.704685,0.703584,0.49529,0.722874,0.830877,0.661262
"1110007C09Rik",6.914821,6.723715,8.308807,9.731532,5.950087,5.925244,45.278024,55.814726,84.642106,85.66202,100.105053,99.562997,29.172422,32.726993,6.29497,6.391027,6.118475
"1110008F13Rik",47.532054,39.476902,36.221728,34.04296,36.710602,50.11662,33.621966,44.701231,36.224196,40.62408,46.477959,55.127386,46.994457,60.078625,42.850692,42.32291,43.356864
"1110008J03Rik",7.410624,5.422157,8.017564,7.790382,5.665435,8.886071,4.163242,6.425043,3.24348,3.334612,2.119159,3.14479,2.910269,3.829742,5.702033,5.8257,5.146796
"1110008L16Rik",3.021312,2.552088,1.169774,1.931082,2.122285,2.189365,2.019736,2.476293,0.722046,1.100325,1.06419,0.582915,4.294415,4.841713,1.719779,1.623863,2.158177
"1110008P14Rik",6.822113,6.40719,21.891344,18.318216,9.38993,16.430415,14.563018,18.307745,23.311832,28.65572,7.42493,11.964853,9.75085,10.957198,26.898807,34.577258,25.433844
"1110012D08Rik",33.049355,25.517904,3.367677,4.591422,14.643723,16.246667,12.212015,13.005655,9.138454,9.5846,10.715782,12.730822,20.566624,20.966245,9.535208,9.751175,10.084153
"1110012J17Rik",3.321208,2.422498,11.942233,21.869022,5.961521,6.545811,1.605666,2.204135,0.480056,0.896376,0.144443,0.204597,3.69505,3.185089,5.631859,4.875319,5.102168
"1110012L19Rik",4.301299,5.215553,4.887054,6.42509,5.18165,7.268593,5.896267,5.805474,7.256145,5.077152,2.247077,3.284647,10.115424,12.226076,5.027147,5.658793,6.943422
"1110014N23Rik",14.417123,14.218904,17.89393,18.266631,13.133036,18.505257,10.203941,15.01018,8.721106,10.825626,17.615904,26.612673,10.016113,10.435595,14.274408,14.491681,13.792319
"1110017D15Rik",0.708417,2.534229,1.375979,1.087327,0.641202,0.638368,0.160324,0.446313,0.252819,0.24189,0.372427,1.008004,0.536497,0.35155,6.489682,4.828195,6.513346
"1110017F19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.155382,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1110018G07Rik",15.156101,14.93814,13.477046,13.190886,18.503568,19.199687,19.928277,17.600456,11.339143,14.189915,9.117052,7.484697,5.583061,5.156296,18.228214,17.722519,20.052819
"1110018J18Rik",3.087074,3.971802,1.447365,1.193354,8.732988,8.214225,9.086697,6.932847,4.3681,4.130739,5.503327,4.041144,24.629901,26.610843,4.455935,4.55399,3.668593
"1110020A21Rik",0.831551,0.563212,0.707364,0.88728,0.729564,1.169523,0.405135,0.412565,0.297514,1.155495,0.140113,0.1,1.718338,1.400862,0.522466,0.367563,0.503878
"1110020G09Rik",28.450238,29.24575,6.230288,6.543985,12.306793,7.46714,6.322381,3.742121,2.971226,4.454335,2.327354,1.182108,4.815628,4.977033,12.004339,11.942134,11.321904
"1110021J02Rik",5.660041,5.386018,6.393321,7.764322,7.786255,6.273213,7.055247,6.775557,4.380106,5.209768,2.432204,2.289499,5.43125,4.873302,6.686642,5.872029,7.577969
"1110021L09Rik",11.241977,12.431047,5.371322,4.567796,10.716428,10.320779,2.629984,3.063478,0.397945,0.34959,1.689762,1.697597,2.334666,2.510708,6.296247,6.050739,7.242962
"1110028C15Rik",5.647457,6.167862,3.104332,3.249612,5.315859,2.57485,2.093917,1.046454,0.375952,0.631607,2.676816,1.889225,6.352029,5.991003,3.199731,2.76744,3.182348
"1110031I02Rik",6.369462,6.968898,4.681945,4.320535,6.916233,10.6686,4.831511,6.879965,6.386862,6.941291,4.522902,5.614011,8.127638,7.917083,4.400861,4.127372,4.370334
"1110032A03Rik",3.186269,3.138946,3.423583,3.479435,4.580179,6.20489,7.955999,8.838186,16.592536,13.490155,4.783779,3.404764,5.228603,5.481751,4.202211,4.195501,4.637515
"1110032A04Rik",0.36385,0.348265,0.447049,0.123663,0.1,0.101597,0.1,0.1,0.1,0.109955,0.11634,0.1,0.1,0.1,0.20057,0.260148,0.244026
"1110032F04Rik",2.525594,4.608779,1.038438,0.928024,2.294993,2.104821,0.506655,0.307173,0.1,0.335311,0.11599,0.1,0.1,0.1,2.25473,2.193813,3.147261
"1110034A24Rik",2.216185,2.321878,3.31006,3.902952,2.729618,3.858182,1.905086,2.729128,2.152524,1.472591,1.518562,0.886721,1.576021,1.912267,3.079011,2.753214,2.977247
"1110034B05Rik",8.972817,7.119826,5.42415,6.373476,9.46393,7.298761,5.245523,2.814744,1.982132,2.617677,1.118237,0.394908,3.15606,4.138426,4.46567,4.276446,5.19643
"1110034G24Rik",5.920371,4.430845,2.880227,2.95105,4.67926,5.872574,2.691574,3.285053,1.835555,2.645378,3.533187,5.909007,29.282933,31.563256,3.668952,3.176663,3.882017
"1110036E04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1110037F02Rik",7.453985,6.67,3.935704,5.511523,6.644152,5.419397,4.313251,3.882355,1.017501,1.25599,2.634442,1.601446,10.88896,10.444817,5.695223,5.460577,6.907015
"1110038B12Rik",18.705176,18.807692,48.688886,50.087183,23.844856,30.906817,19.783048,34.138095,10.497498,14.537103,32.182981,22.883043,39.853215,48.38954,7.683731,7.08999,8.124454
"1110038D17Rik",7.038463,5.795498,3.505773,2.888179,3.475462,4.134146,3.12396,3.473538,2.319882,2.920157,6.001818,6.35412,4.855213,5.351893,4.195648,4.345323,4.6018
"1110038F14Rik",14.527856,12.422413,6.942655,7.565642,14.021342,20.702497,9.84779,11.048142,6.970318,6.650888,7.024903,6.645687,12.735451,14.869365,11.427376,11.063346,11.530908
"1110046J04Rik",0.1,0.1,0.312547,0.643699,0.1,0.584059,0.338329,1.225171,0.57531,1.699488,0.1,0.164691,0.1,0.23502,0.740245,0.779235,0.385295
"1110049F12Rik",9.400934,8.871901,24.764805,23.362721,19.016358,29.426398,18.23348,26.864647,35.008367,34.18239,22.187297,28.167,11.932547,13.366552,13.547825,14.823379,13.017054
"1110051M20Rik",7.504488,9.19219,17.625645,20.111761,14.477492,21.083974,12.578485,16.844193,13.157737,13.410322,4.020015,4.646134,5.088406,5.115695,15.073678,13.125909,16.347318
